Price,Area,Location,bhk,Lift,Parking,price_per_sqft
16000000,800,Andheri West,2,0,0,20000.0
110000000,3000,Andheri West,4,1,0,36666.666666666664
21700000,707,Andheri West,2,1,0,30693.069306930694
27799999,944,Andheri West,3,1,0,29449.151483050846
26000000,923,Andheri West,2,1,0,28169.014084507042
22200000,930,Andheri West,2,1,0,23870.967741935485
25200000,1250,Andheri West,2,1,0,20160.0
10500000,420,Andheri West,1,1,1,25000.0
14600000,586,Andheri West,2,1,1,24914.67576791809
26000000,1250,Andheri West,3,1,0,20800.0
67000000,2500,Andheri West,4,1,1,26800.0
42500000,1850,Andheri West,3,1,1,22972.972972972973
30000000,1450,Andheri West,2,1,1,20689.655172413793
39000000,1147,Andheri West,3,1,0,34001.74367916303
20900000,667,Andheri West,2,1,1,31334.33283358321
59000000,2250,Andheri West,3,1,0,26222.222222222223
38000000,1350,Andheri West,2,1,0,28148.14814814815
22000000,1250,Andheri West,2,1,0,17600.0
23000000,1250,Andheri West,2,1,0,18400.0
36000000,1900,Andheri West,3,1,1,18947.36842105263
24000000,1300,Andheri West,2,1,1,18461.53846153846
28000000,1003,Andheri West,2,1,1,27916.251246261218
31700000,1166,Andheri West,2,1,1,27186.96397941681
39000000,1509,Andheri West,3,1,1,25844.93041749503
25000000,1250,Andheri West,2,1,0,20000.0
51500000,1640,Andheri West,3,0,0,31402.439024390245
25000000,1100,Andheri West,2,1,0,22727.272727272728
63900000,2780,Andheri West,4,1,1,22985.61151079137
51900000,2260,Andheri West,3,1,1,22964.601769911504
47600000,2070,Andheri West,3,1,1,22995.169082125605
34000000,1864,Andheri West,3,0,1,18240.343347639486
23200000,1264,Andheri West,2,1,1,18354.430379746835
23200000,1264,Andheri West,2,0,1,18354.430379746835
33000000,944,Andheri West,3,0,0,34957.627118644064
25000000,713,Andheri West,2,0,0,35063.11360448808
24800000,708,Andheri West,2,0,0,35028.24858757062
21500000,1100,Andheri West,2,1,1,19545.454545454544
22200000,926,Andheri West,2,1,0,23974.082073434125
19900000,934,Andheri West,2,1,1,21306.209850107065
22200000,960,Andheri West,2,1,0,23125.0
22200000,810,Andheri West,2,1,0,27407.40740740741
26700000,1127,Andheri West,3,1,0,23691.215616681457
