Price,Area,Location,bhk,Lift,Parking,price_per_sqft,location_n
30000000,1450,Andheri West,2,1,1,20689.655172413793,7
39000000,1147,Andheri West,3,1,0,34001.74367916303,7
20900000,667,Andheri West,2,1,1,31334.33283358321,7
59000000,2250,Andheri West,3,1,0,26222.222222222223,7
38000000,1350,Andheri West,2,1,0,28148.14814814815,7
22000000,1250,Andheri West,2,1,0,17600.0,7
23000000,1250,Andheri West,2,1,0,18400.0,7
36000000,1900,Andheri West,3,1,1,18947.36842105263,7
24000000,1300,Andheri West,2,1,1,18461.53846153846,7
28000000,1003,Andheri West,2,1,1,27916.251246261218,7
31700000,1166,Andheri West,2,1,1,27186.96397941681,7
39000000,1509,Andheri West,3,1,1,25844.93041749503,7
25000000,1250,Andheri West,2,1,0,20000.0,7
51500000,1640,Andheri West,3,0,0,31402.439024390245,7
25000000,1100,Andheri West,2,1,0,22727.272727272728,7
63900000,2780,Andheri West,4,1,1,22985.61151079137,7
51900000,2260,Andheri West,3,1,1,22964.601769911504,7
47600000,2070,Andheri West,3,1,1,22995.169082125605,7
34000000,1864,Andheri West,3,0,1,18240.343347639486,7
23200000,1264,Andheri West,2,1,1,18354.430379746835,7
23200000,1264,Andheri West,2,0,1,18354.430379746835,7
33000000,944,Andheri West,3,0,0,34957.627118644064,7
25000000,713,Andheri West,2,0,0,35063.11360448808,7
24800000,708,Andheri West,2,0,0,35028.24858757062,7
21500000,1100,Andheri West,2,1,1,19545.454545454544,7
22200000,926,Andheri West,2,1,0,23974.082073434125,7
19900000,934,Andheri West,2,1,1,21306.209850107065,7
22200000,960,Andheri West,2,1,0,23125.0,7
22200000,810,Andheri West,2,1,0,27407.40740740741,7
26700000,1127,Andheri West,3,1,0,23691.215616681457,7
22200000,890,Andheri West,2,1,0,24943.8202247191,7
47500000,1632,Andheri West,3,1,0,29105.392156862745,7
30500000,1250,Andheri West,2,1,1,24400.0,7
32900000,1250,Andheri West,2,1,0,26320.0,7
26000000,1250,Andheri West,2,1,1,20800.0,7
36000000,1850,Andheri West,3,1,1,19459.45945945946,7
42000000,1850,Andheri West,3,1,0,22702.702702702703,7
19000000,900,Andheri West,2,1,0,21111.11111111111,7
55000000,2050,Andheri West,4,1,0,26829.268292682926,7
